"Source:","C:\Users\matth\Desktop\AeroNU\FixedWing\BMS\bms-pcb-design\bms-kicad-project\bms-board.kicad_sch"
"Date:","5/6/2026 10:45:59 PM"
"Tool:","Eeschema 7.0.10"
"Generator:","C:\Users\matth\AppData\Local\Programs\KiCad\7.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","369"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Arrow Part Number","Arrow Price/Stock","Height","MAXIMUM_PACKAGE_HEIGHT","Manufacturer","Manufacturer Name","Manufacturer Part Number","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","SNAPEDA_PN","STANDARD","Tutorial","category","composition","device class L1","device class L2","device class L3","digikey description","digikey part number","height","ipc land pattern name","lead free","library id","mouser description","mouser part number","package","power","power rating","resistance","rohs","series","temperature coefficient","temperature range high","temperature range low","tolerance","voltage rating"
"39","1","LED16","COM-16347","FixedWing:COM-16347","FixedWing:COM-16347_SPK","https://cdn.sparkfun.com/datasheets/BreakoutBoards/WS2812B.pdf","","","","","","SparkFun Electronics","","COM-16347","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"40","13","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8, Q9, Q10, Q11, Q12, Q14","DNBT8105-7","FixedWing:DNBT8105-7","FixedWing:SOT95P240X105-3N","https://www.diodes.com/assets/Datasheets/ds30513.pdf","","DNBT8105-7","https://www.arrow.com/en/products/dnbt8105-7/diodes-incorporated?region=nac","1.1","","Diodes Incorporated","","DNBT8105-7","","","621-DNBT8105-7","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/DNBT8105-7?qs=mQbszxtPdlNf%252BDeuGZn4qw%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","2","Q15, Q16","BSS308PE_H6327","FixedWing:BSS308PE_H6327","SOT95P260X110-3N","https://componentsearchengine.com/Datasheets/1/BSS308PE H6327.pdf","","","","1.1","","Infineon","","BSS308PE H6327","","","726-BSS308PEH6327","https://www.mouser.co.uk/ProductDetail/Infineon-Technologies/BSS308PE-H6327?qs=oPPfIaWL1l0trIaeR9VW8A%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"42","19","R1, R6, R11, R16, R21, R26, R31, R36, R41, R46, R51, R56, R61, R82, R92, R95, R135, R136, R142","100","FixedWing:CRCW0805100RFKEA","RESC2012X50N","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","0.5","","Vishay","","CRCW0805100RFKEA","","","71-CRCW0805-100-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0805100RFKEA?qs=LOX6nxTstiYDPDKmuLyNLw%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"43","14","R2, R7, R12, R17, R22, R27, R32, R37, R42, R47, R52, R57, R120, R121","27","FixedWing:RC0805FR-0727RL","FixedWing:RC0805N_YAG","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","","","","","","YAGEO","","RC0805FR-0727RL","","RC0805FR-0727RL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44","24","R3, R4, R8, R9, R13, R14, R18, R19, R23, R24, R28, R29, R33, R34, R38, R39, R43, R44, R48, R49, R53, R54, R58, R59","15","FixedWing:LTR18EZPF15R0","FixedWing:RES_R1632_ROM","https://fscdn.rohm.com/en/products/databook/datasheet/passive/resistor/chip_resistor/ltr-e.pdf","","","","","","Rohm Semiconductor","","LTR18EZPF15R0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"45","15","R5, R10, R15, R20, R25, R30, R35, R40, R45, R50, R55, R60, R124, R128, R134","475","FixedWing:CRCW0805475RFKEA","RESC2012X50N","http://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","0.5","","Vishay","","CRCW0805475RFKEA","Vishay","CRCW0805475RFKEA","71-CRCW0805-475-E3","https://www.mouser.co.uk/ProductDetail/Vishay-Dale/CRCW0805475RFKEA?qs=H9nSDuxQXAGtYh6oNsznQg%3D%3D","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"46","12","R62, R65, R67, R70, R93, R109, R118, R119, R122, R123, R139, R140","10k","FixedWing:RK73H2ATTD1002F","FixedWing:KOA_Speer-RK73H2A-0-0-MFG","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","","","","","","KOA Speer","","RK73H2ATTD1002F","","","","","","","","","Res","Thick Film","Passive Components","Resistors","Chip SMD Resistors","RES 10K OHM 1% 1/4W 0805","2019-RK73H2ATTD1002FCT-ND","0.5mm","RESC200125X45","yes","42e29ab38bd19d07","Resistor Thick Film 0805 10K Ohm 1% 1/8W ±100ppm/°C SMD Punched Paper Tape and Reel","660-RK73H2ATTD1002F","0805 (2012 metric)","125mW","0.125W","10kΩ","yes","RK73H","100ppm/°C","+155 °C","-55°C","1%","150V"
"47","3","R63, R64, R68","10k","FixedWing:RK73H2ATTD1002F","FixedWing:KOA_Speer-RK73H2A-0-0-MFG","http://www.koaspeer.com/catimages/Products/RK73H/RK73H.pdf","DNP","","","","","KOA Speer","","RK73H2ATTD1002F","","","","","","","","","Res","Thick Film","Passive Components","Resistors","Chip SMD Resistors","RES 10K OHM 1% 1/4W 0805","2019-RK73H2ATTD1002FCT-ND","0.5mm","RESC200125X45","yes","42e29ab38bd19d07","Resistor Thick Film 0805 10K Ohm 1% 1/8W ±100ppm/°C SMD Punched Paper Tape and Reel","660-RK73H2ATTD1002F","0805 (2012 metric)","125mW","0.125W","10kΩ","yes","RK73H","100ppm/°C","+155 °C","-55°C","1%","150V"
"48","12","R66, R79, R80, R81, R83, R84, R85, R86, R87, R88, R104, R141","0","FixedWing:CRCW08050000Z0EA","FixedWing:RES_CRCW_0805_VIS","https://www.vishay.com/docs/20035/dcrcwe3.pdf","","","","","","Vishay Dale","","CRCW08050000Z0EA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
